,City,Colors Reported,Shape Reported,State,Time,Date,Location
0,Ithaca,,TRIANGLE,NY,22:00,1930-06-01,"Ithaca, NY"
1,Willingboro,,OTHER,NJ,20:00,1930-06-30,"Willingboro, NJ"
2,Holyoke,,OVAL,CO,14:00,1931-02-15,"Holyoke, CO"
3,Abilene,,DISK,KS,13:00,1931-06-01,"Abilene, KS"
4,New York Worlds Fair,,LIGHT,NY,19:00,1933-04-18,"New York Worlds Fair, NY"
5,Valley City,,DISK,ND,15:30,1934-09-15,"Valley City, ND"
6,Crater Lake,,CIRCLE,CA,00:00,1935-06-15,"Crater Lake, CA"
7,Alma,,DISK,MI,00:00,1936-07-15,"Alma, MI"
8,Eklutna,,CIGAR,AK,17:00,1936-10-15,"Eklutna, AK"
9,Hubbard,,CYLINDER,OR,00:00,1937-06-15,"Hubbard, OR"
10,Fontana,,LIGHT,CA,21:00,1937-08-15,"Fontana, CA"
11,Waterloo,,FIREBALL,AL,20:00,1939-06-01,"Waterloo, AL"
12,Belton,RED,SPHERE,SC,20:00,1939-06-30,"Belton, SC"
13,Keokuk,,OVAL,IA,02:00,1939-07-07,"Keokuk, IA"
14,Ludington,,DISK,MI,13:00,1941-06-01,"Ludington, MI"
15,Forest Home,,CIRCLE,CA,11:30,1941-07-02,"Forest Home, CA"
16,Los Angeles,,,CA,00:00,1942-02-25,"Los Angeles, CA"
17,Hapeville,,,GA,22:30,1942-06-01,"Hapeville, GA"
18,Oneida,,RECTANGLE,TN,01:00,1942-07-15,"Oneida, TN"
19,Bering Sea,RED,OTHER,AK,23:00,1943-04-30,"Bering Sea, AK"
20,Nebraska,,DISK,NE,15:00,1943-06-01,"Nebraska, NE"
21,,,,LA,00:00,1943-08-15,
22,,,LIGHT,LA,00:00,1943-08-15,
23,Owensboro,,RECTANGLE,KY,11:00,1943-10-15,"Owensboro, KY"
24,Wilderness,,DISK,WV,10:00,1944-01-01,"Wilderness, WV"
25,San Diego,,CIGAR,CA,12:00,1944-01-01,"San Diego, CA"
26,Wilderness,,DISK,WV,12:00,1944-01-01,"Wilderness, WV"
